Player,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,Team Wins,Overall Seed,All-Star
James Harden\hardeja01,TOT,65,37.2,22,7.7,10.3,1.3,0.6,0.41,0.33,0.877,3.3,0.197,1.2,3.9,,,0
Robert Covington\covinro01,POR,48,29.8,7.6,5.7,1.4,1.5,1.3,0.381,0.343,0.833,3.2,0.08,1.1,0.2,27,13,0
Willy Hernangómez\hernawi01,NOP,50,16.8,9.1,6.8,1.3,0.4,0.4,0.52,0.333,0.773,3.2,0.18,0.5,0.2,36,9,0
Naz Reid\reidna01,MIN,77,15.8,8.3,3.9,0.9,0.5,0.9,0.489,0.343,0.765,3.2,0.125,0.6,0,46,7,0
Reggie Bullock\bullore01,DAL,68,28,8.6,3.5,1.2,0.6,0.2,0.401,0.36,0.833,3.2,0.08,0.3,-1.4,52,4,0
Richaun Holmes\holmeri01,SAC,45,23.9,10.4,7,1.1,0.4,0.9,0.66,0.4,0.778,3.2,0.145,0.4,-0.5,30,12,0
Robert Covington\covinro01,TOT,71,27.3,8.5,5.5,1.3,1.5,1.3,0.42,0.378,0.841,3.2,0.08,1.1,0.2,,,0
Will Barton\bartowi01,DEN,71,32.1,14.7,4.8,3.9,0.8,0.4,0.438,0.365,0.803,3.2,0.067,0.9,-0.5,48,6,0
Payton Pritchard\pritcpa01,BOS,71,14.1,6.2,1.9,2,0.4,0.1,0.429,0.412,1,3.1,0.148,1,1.9,51,2,0
Myles Turner\turnemy01,IND,42,29.4,12.9,7.1,1,0.7,2.8,0.509,0.333,0.752,3.1,0.12,1.1,1.4,25,13,0
Julius Randle\randlju01,NYK,72,35.3,20.1,9.9,5.1,0.7,0.5,0.411,0.308,0.756,3.1,0.059,1.6,0.5,37,11,0
LaMarcus Aldridge\aldrila01,BRK,47,22.3,12.9,5.5,0.9,0.3,1,0.55,0.304,0.873,3.1,0.141,0.7,0.7,44,7,0
Ayo Dosunmu\dosunay01,CHI,77,27.4,8.8,2.8,3.3,0.8,0.4,0.52,0.376,0.679,3,0.069,0,-2,46,6,0
Tyrese Haliburton\halibty01,TOT,77,35,15.3,4,8.2,1.7,0.6,0.473,0.414,0.842,3,0.156,1.1,2.8,,,0
Tyrese Haliburton\halibty01,SAC,51,34.5,14.3,3.9,7.4,1.7,0.7,0.457,0.413,0.837,3,0.156,1.1,2.8,30,12,0
Nemanja Bjelica\bjeline01,GSW,71,16.1,6.1,4.1,2.2,0.6,0.4,0.468,0.362,0.728,3,0.128,1,1.4,53,3,0
Jae'Sean Tate\tateja01,HOU,78,26.4,11.8,5.4,2.8,0.9,0.5,0.498,0.312,0.707,3,0.071,0.1,-1.8,20,15,0
Jonathan Kuminga\kuminjo01,GSW,70,16.9,9.3,3.3,0.9,0.4,0.3,0.513,0.336,0.684,3,0.123,0.1,-1.5,53,3,0
Maxi Kleber\klebima01,DAL,59,24.6,7,5.9,1.2,0.5,1,0.398,0.325,0.708,3,0.098,0.6,-0.4,52,4,0
Kenyon Martin Jr.\martike04,HOU,79,21,8.8,3.8,1.3,0.4,0.5,0.533,0.357,0.634,2.9,0.084,0.4,-1.2,20,15,0
Malik Beasley\beaslma01,MIN,79,25,12.1,2.9,1.5,0.5,0.2,0.391,0.377,0.817,2.9,0.069,0.7,-0.7,46,7,0
Dennis Schröder\schrode01,BOS,49,29.2,14.4,3.3,4.2,0.8,0.1,0.44,0.349,0.848,2.9,0.076,0,-1.9,51,2,0
Andre Drummond\drumman01,TOT,73,19.7,7.9,9.3,1.8,1.1,0.9,0.57,0,0.524,2.9,0.153,0.7,1.3,,,0
Dennis Schröder\schrode01,TOT,64,28.7,13.5,3.3,4.6,0.8,0.1,0.431,0.344,0.853,2.9,0.076,0,-1.9,,,0
Seth Curry\curryse01,PHI,45,34.8,15,3.4,4,0.8,0.2,0.485,0.4,0.877,2.9,0.088,0.4,-1,51,4,0
Isaiah Roby\robyis01,OKC,45,21.1,10.1,4.8,1.6,0.8,0.8,0.514,0.444,0.672,2.9,0.147,0.6,0.6,24,14,0
Andre Drummond\drumman01,PHI,49,18.4,6.1,8.8,2,1.1,0.9,0.538,0,0.512,2.9,0.153,0.7,1.3,51,4,0
Tre Jones\jonestr01,SAS,69,16.6,6,2.2,3.4,0.6,0.1,0.49,0.196,0.78,2.9,0.121,0.4,-0.5,34,10,0
Seth Curry\curryse01,TOT,64,33.4,15,3.1,3.6,0.8,0.2,0.487,0.422,0.872,2.9,0.088,0.4,-1,,,0
Austin Reaves\reaveau01,LAL,61,23.2,7.3,3.2,1.8,0.5,0.3,0.459,0.317,0.839,2.9,0.097,0,-1.9,33,11,0
Cedi Osman\osmande01,CLE,66,22.2,10.7,2.2,2,0.8,0.2,0.432,0.357,0.664,2.9,0.094,0.8,0.2,44,8,0
Garrison Mathews\mathega01,HOU,65,26.3,10,2.9,1,0.9,0.4,0.399,0.36,0.794,2.8,0.078,-0.1,-2.3,20,15,0
Kentavious Caldwell-Pope\caldwke01,WAS,77,30.2,13.2,3.4,1.9,1.1,0.3,0.435,0.39,0.89,2.8,0.058,0.3,-1.5,35,12,0
Gordon Hayward\haywago01,CHO,49,31.9,15.9,4.6,3.6,1,0.4,0.459,0.391,0.846,2.8,0.087,0.5,-0.7,43,10,0
Dennis Schröder\schrode01,TOT,64,28.7,13.5,3.3,4.6,0.8,0.1,0.431,0.344,0.853,2.8,0.092,0.3,-1.2,,,0
Patty Mills\millspa02,BRK,81,29,11.4,1.9,2.3,0.6,0.2,0.408,0.4,0.814,2.8,0.058,0.2,-1.7,44,7,0
Georges Niang\niangge01,PHI,76,22.8,9.2,2.7,1.3,0.4,0.2,0.437,0.403,0.881,2.8,0.077,0,-1.9,51,4,0
Dennis Schröder\schrode01,BOS,49,29.2,14.4,3.3,4.2,0.8,0.1,0.44,0.349,0.848,2.8,0.092,0.3,-1.2,51,2,0
Norman Powell\powelno01,POR,40,33.3,18.7,3.3,2.1,1,0.4,0.456,0.406,0.803,2.8,0.093,0.6,-0.3,27,13,0
Moritz Wagner\wagnemo01,ORL,63,15.2,9,3.7,1.4,0.3,0.2,0.497,0.328,0.806,2.8,0.138,0.9,1.6,22,15,0
Jalen Smith\smithja04,TOT,51,18.1,9.2,6,0.5,0.3,0.8,0.503,0.328,0.765,2.8,0.145,0.3,-0.5,,,0
Norman Powell\powelno01,TOT,45,32.4,19,3.2,2.1,0.9,0.5,0.461,0.419,0.811,2.8,0.093,0.6,-0.3,,,0
Devonte' Graham\grahade01,NOP,76,28.4,11.9,2.3,4.2,0.9,0.2,0.363,0.341,0.843,2.8,0.062,0.5,-1,36,9,0
Jalen Smith\smithja04,PHO,29,13.2,6,4.8,0.2,0.2,0.6,0.46,0.231,0.769,2.8,0.145,0.3,-0.5,64,1,0
Jaylen Nowell\nowelja01,MIN,62,15.7,8.5,2,2.1,0.4,0.2,0.475,0.394,0.783,2.8,0.138,0.7,0.8,46,7,0
Kevin Huerter\huertke01,ATL,74,29.6,12.1,3.4,2.7,0.7,0.4,0.454,0.389,0.808,2.8,0.062,0.4,-1.2,43,9,0
JaMychal Green\greenja01,DEN,67,16.2,6.4,4.2,0.9,0.6,0.4,0.486,0.266,0.871,2.7,0.118,0,-1.8,48,6,0
Malcolm Brogdon\brogdma01,IND,36,33.5,19.1,5.1,5.9,0.8,0.4,0.448,0.312,0.856,2.7,0.106,1.3,2.3,25,13,0
Damion Lee\leeda03,GSW,63,19.9,7.4,3.2,1,0.6,0.1,0.441,0.337,0.88,2.7,0.102,0,-2,53,3,0
Taj Gibson\gibsota01,NYK,52,18.2,4.4,4.4,0.6,0.4,0.8,0.518,0.395,0.808,2.7,0.135,0,-2,37,11,0
CJ McCollum\mccolcj01,POR,36,35.2,20.5,4.3,4.5,1,0.6,0.436,0.384,0.706,2.6,0.14,1.5,4.6,27,13,0
CJ McCollum\mccolcj01,TOT,62,34.6,22.1,4.3,5.1,1.1,0.4,0.46,0.388,0.682,2.6,0.14,1.5,4.6,,,0
Landry Shamet\shamela01,PHO,69,20.8,8.3,1.8,1.6,0.4,0.1,0.394,0.368,0.84,2.6,0.085,0.3,-1.2,64,1,0
Khem Birch\birchkh01,TOR,55,18,4.5,4.3,1,0.5,0.5,0.485,0,0.746,2.6,0.126,0.2,-1.3,48,5,0
Josh Richardson\richajo01,TOT,65,24.6,10.2,2.8,1.8,0.9,0.4,0.438,0.415,0.889,2.6,0.113,0.6,0.2,,,0
Josh Richardson\richajo01,BOS,44,24.7,9.7,2.8,1.5,0.8,0.5,0.443,0.397,0.859,2.6,0.113,0.6,0.2,51,2,0
Cory Joseph\josepco01,DET,65,24.6,8,2.7,3.6,0.6,0.3,0.445,0.414,0.885,2.5,0.075,0,-2.1,23,14,0
Precious Achiuwa\achiupr01,TOR,73,23.6,9.1,6.5,1.1,0.5,0.6,0.439,0.359,0.595,2.5,0.07,-0.2,-2.6,48,5,0
Spencer Dinwiddie\dinwisp01,TOT,67,29.6,13.7,4.2,5.2,0.7,0.2,0.416,0.339,0.774,2.5,0.182,0.8,2.9,,,0
Spencer Dinwiddie\dinwisp01,WAS,44,30.2,12.6,4.7,5.8,0.6,0.2,0.376,0.31,0.811,2.5,0.182,0.8,2.9,35,12,0
Gabe Vincent\vincega01,MIA,68,23.4,8.7,1.9,3.1,0.9,0.2,0.417,0.368,0.815,2.5,0.076,0.2,-1.4,53,1,0
De'Aaron Fox\foxde01,SAC,59,35.3,23.2,3.9,5.6,1.2,0.4,0.473,0.297,0.75,2.5,0.058,0.7,-0.6,30,12,0
Jaden McDaniels\mcdanja02,MIN,70,25.8,9.2,4.2,1.1,0.7,0.8,0.46,0.317,0.803,2.4,0.065,-0.4,-2.9,46,7,0
Josh Green\greenjo02,DAL,67,15.5,4.8,2.4,1.2,0.7,0.2,0.508,0.359,0.689,2.4,0.111,0.3,-1,52,4,0
Coby White\whiteco01,CHI,61,27.5,12.7,3,2.9,0.5,0.2,0.433,0.385,0.857,2.4,0.067,0,-2.1,46,6,0
Deni Avdija\avdijde01,WAS,82,24.2,8.4,5.2,2,0.7,0.5,0.432,0.317,0.757,2.4,0.058,0.1,-1.7,35,12,0
Terry Taylor\taylote01,IND,33,21.6,9.6,5.2,1.2,0.4,0.2,0.614,0.316,0.706,2.4,0.16,0.3,-0.6,25,13,0
Bones Hyland\hylanbo01,DEN,69,19,10.1,2.7,2.8,0.6,0.3,0.403,0.366,0.856,2.4,0.088,0.5,-0.4,48,6,0
Marcus Morris\morrima03,LAC,54,29,15.4,4.4,2.1,0.5,0.3,0.434,0.367,0.872,2.4,0.074,0.3,-1.4,42,8,0
Corey Kispert\kispeco01,WAS,77,23.4,8.2,2.7,1.1,0.5,0.3,0.455,0.35,0.871,2.3,0.061,-0.1,-2.3,35,12,0
Jerami Grant\grantje01,DET,47,31.9,19.2,4.1,2.4,0.9,1,0.426,0.358,0.838,2.3,0.075,1.2,1.2,23,14,0
RJ Barrett\barrerj01,NYK,70,34.5,20,5.8,3,0.6,0.2,0.408,0.342,0.714,2.3,0.046,0.2,-1.6,37,11,0
Torrey Craig\craigto01,TOT,78,20.5,6.6,4,1.2,0.6,0.5,0.454,0.329,0.75,2.3,0.07,0.1,-1.8,,,0
George Hill\hillge01,MIL,54,23.2,6.2,2.9,2.2,0.8,0.1,0.429,0.306,0.919,2.3,0.087,0.1,-1.5,51,3,0
Torrey Craig\craigto01,IND,51,20.3,6.5,3.8,1.1,0.5,0.4,0.456,0.333,0.771,2.3,0.07,0.1,-1.8,25,13,0
Jordan McLaughlin\mclaujo01,MIN,62,14.5,3.8,1.5,2.9,0.9,0.2,0.44,0.318,0.75,2.3,0.123,0.6,0.4,46,7,0
Larry Nance Jr.\nancela02,TOT,46,22.6,7,5.4,1.8,0.9,0.4,0.522,0.329,0.702,2.3,0.104,0.5,-0.1,,,0
Larry Nance Jr.\nancela02,POR,37,23.2,6.9,5.6,2,1,0.4,0.515,0.306,0.653,2.3,0.104,0.5,-0.1,27,13,0
Dean Wade\wadede01,CLE,51,19.2,5.3,2.9,1,0.6,0.1,0.456,0.359,0.667,2.3,0.111,0.4,-0.6,44,8,0
Trey Lyles\lylestr01,DET,51,19.4,10.4,4.8,1.1,0.4,0.5,0.456,0.301,0.784,2.2,0.106,0.5,0,23,14,0
Derrick Jones Jr.\jonesde02,CHI,51,17.6,5.6,3.3,0.6,0.5,0.6,0.538,0.328,0.8,2.2,0.119,0.2,-0.9,46,6,0
Thaddeus Young\youngth01,TOT,52,16.3,6.2,4,2,1,0.3,0.518,0.354,0.469,2.2,0.126,0.9,2.2,,,0
Ziaire Williams\willizi02,MEM,62,21.7,8.1,2.1,1,0.6,0.2,0.45,0.314,0.782,2.2,0.08,-0.3,-3,56,2,0
Chuma Okeke\okekech01,ORL,70,25,8.6,5,1.7,1.4,0.6,0.376,0.318,0.846,2.2,0.06,0.8,-0.1,22,15,0
Kristaps Porziņģis\porzikr01,TOT,51,29,20.2,8.1,2.3,0.7,1.6,0.459,0.31,0.867,2.2,0.22,0.9,5.6,,,0
Oshae Brissett\brissos01,IND,67,23.3,9.1,5.3,1.1,0.7,0.4,0.411,0.35,0.695,2.2,0.069,-0.1,-2.2,25,13,0
DeAndre' Bembry\bembrde01,BRK,48,19.8,5.8,3.2,1.3,1,0.5,0.568,0.417,0.6,2.2,0.104,0.3,-0.7,44,7,0
Caris LeVert\leverca01,TOT,58,30.7,17,3.7,4.3,0.9,0.4,0.444,0.32,0.756,2.2,0.059,0.4,-1.2,,,0
Caris LeVert\leverca01,IND,39,31.1,18.7,3.8,4.4,0.9,0.5,0.447,0.323,0.76,2.2,0.059,0.4,-1.2,25,13,0
Lonzo Ball\balllo01,CHI,35,34.6,13,5.4,5.1,1.8,0.9,0.423,0.423,0.75,2.2,0.088,1.4,2.5,46,6,0
DeAndre' Bembry\bembrde01,TOT,56,18.3,5.1,2.9,1.2,0.9,0.4,0.561,0.417,0.6,2.2,0.104,0.3,-0.7,,,0
Taurean Prince\princta02,MIN,69,17.1,7.3,2.5,1,0.7,0.3,0.454,0.376,0.756,2.2,0.09,0.3,-0.9,46,7,0
Kristaps Porziņģis\porzikr01,DAL,34,29.5,19.2,7.7,2,0.7,1.7,0.451,0.283,0.865,2.2,0.22,0.9,5.6,52,4,0
Trey Lyles\lylestr01,TOT,75,20.5,10.5,5.1,1.2,0.4,0.4,0.466,0.321,0.802,2.2,0.106,0.5,0,,,0
Andre Drummond\drumman01,PHI,49,18.4,6.1,8.8,2,1.1,0.9,0.538,0,0.512,2.2,0.199,0.4,1.2,51,4,0
Andre Drummond\drumman01,TOT,73,19.7,7.9,9.3,1.8,1.1,0.9,0.57,0,0.524,2.2,0.199,0.4,1.2,,,0
Joe Ingles\inglejo01,UTA,45,24.9,7.2,2.9,3.5,0.5,0.1,0.404,0.347,0.773,2.2,0.094,0.5,-0.3,49,5,0
Gary Harris\harriga01,ORL,61,28.4,11.1,2,1.8,1,0.1,0.434,0.384,0.874,2.2,0.06,-0.2,-2.4,22,15,0
Montrezl Harrell\harremo01,WAS,46,24.3,14.1,6.7,2.1,0.4,0.7,0.645,0.267,0.727,2.2,0.203,0.5,1.8,35,12,0
Montrezl Harrell\harremo01,TOT,71,23.1,13.1,6.1,2,0.4,0.6,0.645,0.235,0.716,2.2,0.203,0.5,1.8,,,0
Hamidou Diallo\diallha01,DET,58,21.9,11,4.8,1.3,1.2,0.3,0.496,0.247,0.65,2.1,0.079,0.5,-0.5,23,14,0
Norman Powell\powelno01,TOT,45,32.4,19,3.2,2.1,0.9,0.5,0.461,0.419,0.811,2.1,0.076,0.3,-1,,,0
Blake Griffin\griffbl01,BRK,56,17.1,6.4,4.1,1.9,0.5,0.3,0.425,0.262,0.724,2.1,0.106,0.3,-0.6,44,7,0
DeAndre' Bembry\bembrde01,TOT,56,18.3,5.1,2.9,1.2,0.9,0.4,0.561,0.417,0.6,2.1,0.108,0.4,-0.4,,,0
Alperen Şengün\sengual01,HOU,72,20.7,9.6,5.5,2.6,0.8,0.9,0.474,0.248,0.711,2.1,0.068,0.4,-1,20,15,0
Robert Covington\covinro01,TOT,71,27.3,8.5,5.5,1.3,1.5,1.3,0.42,0.378,0.841,2.1,0.2,0.8,4.1,,,0
DeAndre' Bembry\bembrde01,BRK,48,19.8,5.8,3.2,1.3,1,0.5,0.568,0.417,0.6,2.1,0.108,0.4,-0.4,44,7,0
Rudy Gay\gayru01,UTA,55,18.9,8.1,4.4,1,0.5,0.3,0.414,0.345,0.785,2.1,0.097,0.3,-1,49,5,0
Jose Alvarado\alvarjo01,NOP,54,15.4,6.1,1.9,2.8,1.3,0.1,0.446,0.291,0.679,2.1,0.121,0.8,1.9,36,9,0
Robert Covington\covinro01,POR,48,29.8,7.6,5.7,1.4,1.5,1.3,0.381,0.343,0.833,2.1,0.2,0.8,4.1,27,13,0
Omer Yurtseven\yurtsom01,MIA,56,12.6,5.3,5.3,0.9,0.3,0.4,0.526,0.091,0.623,2.1,0.145,0.2,-1,53,1,0
Mike Muscala\muscami01,OKC,43,13.8,8,3,0.5,0.4,0.6,0.456,0.429,0.842,2.1,0.17,1.1,5,24,14,0
Norman Powell\powelno01,POR,40,33.3,18.7,3.3,2.1,1,0.4,0.456,0.406,0.803,2.1,0.076,0.3,-1,27,13,0
Serge Ibaka\ibakase01,TOT,54,16.2,6.8,4.6,0.9,0.2,0.6,0.5,0.374,0.727,2,0.108,0.1,-1.5,,,0
Drew Eubanks\eubandr01,SAS,49,12.1,4.7,4,1,0.3,0.6,0.528,0.125,0.747,2,0.144,0.1,-1.5,34,10,0
Alex Caruso\carusal01,CHI,41,28,7.4,3.6,4,1.7,0.4,0.398,0.333,0.795,2,0.082,0.6,0.2,46,6,0
Tim Hardaway Jr.\hardati02,DAL,42,29.6,14.2,3.7,2.2,0.9,0.1,0.394,0.336,0.757,2,0.077,0.6,-0.2,52,4,0
Serge Ibaka\ibakase01,LAC,35,15.4,6.6,4.3,1,0.2,0.7,0.49,0.387,0.69,2,0.108,0.1,-1.5,42,8,0
Eric Paschall\pascher01,UTA,58,12.7,5.8,1.8,0.6,0.2,0.1,0.485,0.37,0.767,2,0.128,0.3,-0.5,49,5,0
Facundo Campazzo\campafa01,DEN,65,18.2,5.1,1.8,3.4,1,0.4,0.361,0.301,0.769,2,0.081,0.4,-0.8,48,6,0
Drew Eubanks\eubandr01,TOT,71,17.5,7.7,5.4,1.2,0.4,0.6,0.596,0.217,0.762,2,0.144,0.1,-1.5,,,0
Marvin Bagley III\baglema01,SAC,30,21.9,9.3,7.2,0.6,0.3,0.4,0.463,0.242,0.745,2,0.085,-0.1,-2.3,30,12,0
Juan Toscano-Anderson\toscaju01,GSW,73,13.6,4.1,2.4,1.7,0.7,0.2,0.489,0.322,0.571,2,0.098,0.3,-0.8,53,3,0
Kyle Kuzma\kuzmaky01,WAS,66,33.4,17.1,8.5,3.5,0.6,0.9,0.452,0.341,0.712,2,0.044,1,-0.2,35,12,0
Marvin Bagley III\baglema01,TOT,48,23.9,11.3,7,0.8,0.5,0.4,0.504,0.237,0.663,2,0.085,-0.1,-2.3,,,0
Anfernee Simons\simonan01,POR,57,29.5,17.3,2.6,3.9,0.5,0.1,0.443,0.405,0.888,1.9,0.055,0.5,-0.7,27,13,0
Trendon Watford\watfotr01,POR,48,18.1,7.6,4.1,1.7,0.5,0.6,0.532,0.237,0.755,1.9,0.104,0.1,-1.7,27,13,0
Cameron Payne\payneca01,PHO,58,22,10.8,3,4.9,0.7,0.3,0.409,0.336,0.843,1.9,0.073,0.7,0,64,1,0
DeAndre Jordan\jordade01,LAL,32,12.8,4.1,5.4,0.4,0.3,0.8,0.674,,0.462,1.9,0.145,0.1,-1.4,33,11,0
Buddy Hield\hieldbu01,SAC,55,28.6,14.4,4,1.9,0.9,0.3,0.382,0.368,0.87,1.9,0.036,0.5,-1.2,30,12,0
Goga Bitadze\bitadgo01,IND,50,14.6,7,3.5,1.1,0.4,0.8,0.52,0.288,0.681,1.9,0.122,0.2,-0.8,25,13,0
Larry Nance Jr.\nancela02,POR,37,23.2,6.9,5.6,2,1,0.4,0.515,0.306,0.653,1.9,0.104,0.5,0.3,27,13,0
Larry Nance Jr.\nancela02,TOT,46,22.6,7,5.4,1.8,0.9,0.4,0.522,0.329,0.702,1.9,0.104,0.5,0.3,,,0
DeAndre Jordan\jordade01,TOT,48,13,4.3,5.5,0.4,0.3,0.7,0.643,,0.55,1.9,0.145,0.1,-1.4,,,0
Trey Murphy III\murphtr02,NOP,62,13.9,5.4,2.4,0.6,0.4,0.1,0.394,0.382,0.882,1.9,0.104,0.2,-1.2,36,9,0
Buddy Hield\hieldbu01,TOT,81,30.9,15.6,4.4,2.8,0.9,0.3,0.406,0.366,0.874,1.9,0.036,0.5,-1.2,,,0
Daniel Theis\theisda01,TOT,47,20.8,8.2,4.9,0.9,0.4,0.7,0.519,0.308,0.681,1.9,0.093,0,-2.1,,,0
Danny Green\greenda02,PHI,62,21.8,5.9,2.5,1,1,0.6,0.394,0.38,0.786,1.9,0.067,0.5,-0.5,51,4,0
Zeke Nnaji\nnajize01,DEN,41,17,6.6,3.6,0.4,0.4,0.3,0.516,0.463,0.631,1.8,0.123,0,-2.2,48,6,0
Darius Bazley\bazleda01,OKC,69,27.9,10.8,6.3,1.4,0.8,1,0.422,0.297,0.688,1.8,0.044,0.1,-1.8,24,14,0
Bismack Biyombo\biyombi01,PHO,36,14.1,5.8,4.6,0.6,0.3,0.7,0.593,,0.535,1.8,0.17,0.1,-1.3,64,1,0
Kenrich Williams\willike04,OKC,49,21.9,7.4,4.5,2.2,0.9,0.2,0.461,0.339,0.545,1.8,0.081,0.5,-0.3,24,14,0
Derrick White\whitede01,SAS,49,30.3,14.4,3.5,5.6,1,0.9,0.426,0.314,0.869,1.8,0.121,0.2,-0.9,34,10,0
Derrick White\whitede01,TOT,75,29.3,13.2,3.5,4.9,0.9,0.8,0.421,0.312,0.864,1.8,0.121,0.2,-0.9,,,0
Klay Thompson\thompkl01,GSW,32,29.4,20.4,3.9,2.8,0.5,0.5,0.429,0.385,0.902,1.8,0.091,0.7,1.1,53,3,0
Kemba Walker\walkeke02,NYK,37,25.6,11.6,3,3.5,0.7,0.2,0.403,0.367,0.845,1.8,0.093,0.6,0.4,37,11,0
Stanley Johnson\johnsst04,LAL,48,22.8,6.7,3.2,1.7,0.9,0.3,0.466,0.314,0.716,1.8,0.079,-0.2,-2.7,33,11,0
Xavier Tillman Sr.\tillmxa01,MEM,53,13.2,4.8,3,1.2,0.9,0.3,0.454,0.204,0.648,1.8,0.121,0.5,0.7,56,2,0
Damian Lillard\lillada01,POR,29,36.4,24,4.1,7.3,0.6,0.4,0.402,0.324,0.878,1.7,0.079,0.9,1.3,27,13,0
Shake Milton\miltosh01,PHI,55,21.4,8.2,2.6,2.5,0.5,0.3,0.429,0.323,0.836,1.7,0.069,-0.1,-2.2,51,4,0
Jalen McDaniels\mcdanja01,CHO,55,16.3,6.2,3.1,1.1,0.5,0.4,0.484,0.38,0.736,1.7,0.093,-0.1,-2.3,43,10,0
James Johnson\johnsja01,BRK,62,19.2,5.5,3.5,2.1,0.5,0.5,0.469,0.271,0.527,1.7,0.068,-0.1,-2.2,44,7,0
Jalen Smith\smithja04,PHO,29,13.2,6,4.8,0.2,0.2,0.6,0.46,0.231,0.769,1.7,0.15,0.4,0.8,64,1,0
Jalen Smith\smithja04,TOT,51,18.1,9.2,6,0.5,0.3,0.8,0.503,0.328,0.765,1.7,0.15,0.4,0.8,,,0
Nassir Little\littlna01,POR,42,25.9,9.8,5.6,1.3,0.6,0.9,0.46,0.331,0.734,1.7,0.076,0.2,-1.5,27,13,0
Russell Westbrook\westbru01,LAL,78,34.3,18.5,7.4,7.1,1,0.3,0.444,0.298,0.667,1.7,0.03,0.2,-1.6,33,11,0
DeMarcus Cousins\couside01,TOT,48,15,9,5.6,1.5,0.7,0.4,0.46,0.303,0.76,1.6,0.104,0.1,-1.6,,,0
Keita Bates-Diop\bateske01,SAS,59,16.2,5.7,3.9,0.7,0.5,0.2,0.517,0.309,0.754,1.6,0.08,-0.1,-2.6,34,10,0
Kelly Olynyk\olynyke01,DET,40,19.1,9.1,4.4,2.8,0.8,0.5,0.448,0.336,0.775,1.6,0.104,0.7,1.6,23,14,0
Davon Reed\reedda01,DEN,48,13.9,4.4,2.3,1.1,0.5,0.2,0.503,0.43,0.667,1.6,0.117,0.3,-0.3,48,6,0
Tristan Thompson\thomptr01,SAC,30,15.2,6.2,5.4,0.6,0.4,0.4,0.503,1,0.533,1.6,0.087,-0.3,-3.1,30,12,0
Cole Anthony\anthoco01,ORL,65,31.7,16.3,5.4,5.7,0.7,0.3,0.391,0.338,0.854,1.6,0.038,0.4,-1.2,22,15,0
DeMarcus Cousins\couside01,DEN,31,13.9,8.9,5.5,1.7,0.6,0.4,0.456,0.324,0.736,1.6,0.104,0.1,-1.6,48,6,0
Lamar Stevens\stevela01,CLE,63,16.1,6.1,2.6,0.7,0.5,0.3,0.489,0.277,0.707,1.6,0.078,-0.2,-2.9,44,8,0
Tristan Thompson\thomptr01,TOT,57,15.7,6,5.1,0.6,0.4,0.4,0.528,0.333,0.526,1.6,0.087,-0.3,-3.1,,,0
Spencer Dinwiddie\dinwisp01,WAS,44,30.2,12.6,4.7,5.8,0.6,0.2,0.376,0.31,0.811,1.6,0.058,0.3,-0.9,35,12,0
Spencer Dinwiddie\dinwisp01,TOT,67,29.6,13.7,4.2,5.2,0.7,0.2,0.416,0.339,0.774,1.6,0.058,0.3,-0.9,,,0
Daniel Theis\theisda01,TOT,47,20.8,8.2,4.9,0.9,0.4,0.7,0.519,0.308,0.681,1.6,0.19,0.2,-0.1,,,0
Dillon Brooks\brookdi01,MEM,32,27.7,18.4,3.2,2.8,1.1,0.3,0.432,0.309,0.849,1.6,0.087,0,-1.8,56,2,0
Andre Iguodala\iguodan01,GSW,31,19.5,4,3.2,3.7,0.9,0.7,0.38,0.23,0.75,1.6,0.125,0.7,2.7,53,3,0
Doug McDermott\mcderdo01,SAS,51,24,11.3,2.3,1.3,0.3,0.1,0.462,0.422,0.784,1.6,0.062,-0.1,-2.5,34,10,0
Aaron Holiday\holidaa01,TOT,63,16.2,6.3,1.9,2.4,0.7,0.1,0.447,0.379,0.868,1.5,0.068,0.1,-1.7,,,0
Raul Neto\netora01,WAS,70,19.6,7.5,1.9,3.1,0.8,0,0.463,0.292,0.769,1.5,0.053,-0.4,-3,35,12,0
Jericho Sims\simsje01,NYK,41,13.5,2.2,4.1,0.5,0.3,0.5,0.722,,0.414,1.5,0.128,0,-1.7,37,11,0
Caris LeVert\leverca01,TOT,58,30.7,17,3.7,4.3,0.9,0.4,0.444,0.32,0.756,1.5,0.06,0.5,-0.3,,,0
Jeremiah Robinson-Earl\robinje02,OKC,49,22.2,7.5,5.6,1,0.6,0.3,0.414,0.352,0.741,1.5,0.065,-0.1,-2.2,24,14,0
Jock Landale\landajo01,SAS,54,10.9,4.9,2.6,0.8,0.2,0.3,0.495,0.326,0.829,1.5,0.121,0.2,-0.4,34,10,0
Caris LeVert\leverca01,IND,39,31.1,18.7,3.8,4.4,0.9,0.5,0.447,0.323,0.76,1.5,0.06,0.5,-0.3,25,13,0
Chimezie Metu\metuch01,SAC,60,21.3,8.9,5.6,1,0.9,0.5,0.452,0.306,0.78,1.5,0.056,0.2,-1.5,30,12,0
Aaron Holiday\holidaa01,WAS,41,16.2,6.1,1.6,1.9,0.6,0.2,0.467,0.343,0.8,1.5,0.068,0.1,-1.7,35,12,0
Trey Lyles\lylestr01,DET,51,19.4,10.4,4.8,1.1,0.4,0.5,0.456,0.301,0.784,1.4,0.12,0.1,-1,23,14,0
